group,id,input,mean,std_dev,median,max,min
Expr vs Closures (Execution time),Arena Expression,1,27.598435107162064,0.9463200316228447,27.411401533987206,31.986342436470466,26.962578849611738
Expr vs Closures (Execution time),Arena Expression,1000,27345.44428466245,562.0791689532647,27164.83215377894,28794.89908256881,26699.009174311926
Expr vs Closures (Execution time),Arena Expression,50,1367.8540386232155,31.934633989242396,1360.498217713189,1478.958900770801,1339.266876885111
Expr vs Closures (Execution time),Arena Expression,100,2761.511307165012,165.94376526104676,2708.390839275919,3539.358383616749,2680.7351435362957
Expr vs Closures (Execution time),Compiled Expression,1,6.945354419186264,2.2214478945872895,6.090559907972413,13.098156236309372,5.9723642620031505
Expr vs Closures (Execution time),Compiled Expression,1000,6319.506380321254,237.46098233067354,6226.053733810967,7160.406861394324,6176.982574236638
Expr vs Closures (Execution time),Compiled Expression,50,317.68991925059885,11.833997923515009,314.8768011002235,374.73643115007735,310.6059515214028
Expr vs Closures (Execution time),Compiled Expression,100,635.576940365845,28.420943969019376,626.6439078367052,732.4068965517241,617.7770939604162
Expr vs Closures (Execution time),Expression,1,22.80746118519417,0.5114504288890609,22.6072772018157,25.121418247765977,22.45149608344805
Expr vs Closures (Execution time),Expression,1000,22733.886688216924,262.4862372478102,22721.648569332356,23450.200293470287,22432.05530517416
Expr vs Closures (Execution time),Expression,50,1178.7192043133725,25.787528818411317,1166.1577841704834,1242.9046357329412,1145.8727542343634
Expr vs Closures (Execution time),Expression,100,2314.4648959547517,68.35788648523422,2300.3942058270677,2605.127368421053,2256.497338999673
Expr vs Closures (Execution time),Closure,1,2.206235060820918,0.8268172545875827,1.4908670729534528,3.263747588808499,1.4814453685796303
Expr vs Closures (Execution time),Closure,1000,1204.2846638647814,15.554297385053003,1201.7271761382779,1260.8769144056596,1191.0094509975759
Expr vs Closures (Execution time),Closure,50,59.96447878483987,0.5958733410681086,59.828546069009064,62.85939416523049,59.72921897958579
Expr vs Closures (Execution time),Closure,100,127.23657843918586,3.396125493582795,126.53983848455456,143.5888677297424,125.652793350087
Compiled vs Interpreted,Compiled,10000,2988896.21396587,115297.5820289025,2993914.3776223776,3167447.409090909,2463437.84
Compiled vs Interpreted,Compiled,1000000,107485012.52,2981715.1965081776,106533629.75,120503658.0,105462852.5
Compiled vs Interpreted,Compiled,100000,15377522.269047726,5610438.206306536,11210180.5,24570033.666666668,10844019.020833334
Compiled vs Interpreted,Compiled,10000000,1237504890.12,81060078.31954774,1201962729.0,1486568935.0,1194185619.0
Compiled vs Interpreted,Interpreted,10000,1578630.2375075459,31858.858647550547,1569623.86875,1682718.9326086957,1552505.45
Compiled vs Interpreted,Interpreted,1000000,130606788.42,5771766.463127597,128000940.0,149470417.25,127174087.5
Compiled vs Interpreted,Interpreted,100000,13709011.637061886,683560.1517682179,13450052.9,16549490.1,13177870.909090908
Compiled vs Interpreted,Interpreted,10000000,1516953763.48,125468681.41402191,1441189157.0,1835703505.0,1419845596.0
