group,id,input,measure
ProjectionPushdown - GroupBy,Closures,10,2367601.3774509802
ProjectionPushdown - GroupBy,Closures,10,2386376.262037037
ProjectionPushdown - GroupBy,Closures,10,2401639.1675438597
ProjectionPushdown - GroupBy,Closures,10,2397904.183333333
ProjectionPushdown - GroupBy,Closures,100,10828197.57142857
ProjectionPushdown - GroupBy,Closures,100,10832959.392857144
ProjectionPushdown - GroupBy,Closures,100,10813394.42857143
ProjectionPushdown - GroupBy,Closures,100,10800895.232142856
ProjectionPushdown - GroupBy,Closures,100,10843252.042857142
ProjectionPushdown - GroupBy,Closures,100,10814888.214285715
ProjectionPushdown - GroupBy,Closures,100,10804869.591836736
ProjectionPushdown - GroupBy,Closures,100,10768446.99107143
ProjectionPushdown - GroupBy,Closures,100,10774598.777777778
ProjectionPushdown - GroupBy,Closures,100,10774195.092857143
ProjectionPushdown - GroupBy,Closures,100,10777741.863636363
ProjectionPushdown - GroupBy,Closures,100,10795433.55952381
ProjectionPushdown - GroupBy,Closures,100,10762454.395604396
ProjectionPushdown - GroupBy,Closures,100,10754756.56122449
ProjectionPushdown - GroupBy,Closures,100,10777956.666666666
ProjectionPushdown - GroupBy,Closures,100,10758237.6875
ProjectionPushdown - GroupBy,Closures,100,10778222.151260504
ProjectionPushdown - GroupBy,Closures,100,10785514.976190476
ProjectionPushdown - GroupBy,Closures,100,10786292.838345865
ProjectionPushdown - GroupBy,Closures,100,10764061.07857143
ProjectionPushdown - GroupBy,Without,1000,99840230.0
ProjectionPushdown - GroupBy,Without,1000,99210208.25
ProjectionPushdown - GroupBy,Without,1000,99215281.33333333
ProjectionPushdown - GroupBy,Without,1000,99905179.375
ProjectionPushdown - GroupBy,Without,1000,99270699.9
ProjectionPushdown - GroupBy,Without,1000,99462229.16666667
ProjectionPushdown - GroupBy,Without,1000,99301167.64285715
ProjectionPushdown - GroupBy,Without,1000,99554265.75
ProjectionPushdown - GroupBy,Without,1000,99550778.5
ProjectionPushdown - GroupBy,Without,1000,99559505.05
ProjectionPushdown - GroupBy,Without,1000,99663852.22727273
ProjectionPushdown - GroupBy,Without,1000,99672798.25
ProjectionPushdown - GroupBy,Without,1000,99722749.76923077
ProjectionPushdown - GroupBy,Without,1000,100080850.75
ProjectionPushdown - GroupBy,Without,1000,100307200.1
ProjectionPushdown - GroupBy,Without,1000,99772140.5
ProjectionPushdown - GroupBy,Without,1000,100294416.44117647
ProjectionPushdown - GroupBy,Without,1000,99808624.75
ProjectionPushdown - GroupBy,Without,1000,100080805.0
ProjectionPushdown - GroupBy,Without,1000,100040301.75
ProjectionPushdown - GroupBy,Without,10,2774032.653846154
ProjectionPushdown - GroupBy,Without,10,2791078.326923077
ProjectionPushdown - GroupBy,Without,10,2791248.378205128
ProjectionPushdown - GroupBy,Without,10,2778655.8173076925
ProjectionPushdown - GroupBy,Without,10,2785158.8961538463
ProjectionPushdown - GroupBy,Without,10,2785149.641025641
ProjectionPushdown - GroupBy,Without,10,2781363.686813187
ProjectionPushdown - GroupBy,Without,10,2787003.800480769
ProjectionPushdown - GroupBy,Without,10,2787542.497863248
ProjectionPushdown - GroupBy,Without,10,2784950.6884615384
ProjectionPushdown - GroupBy,Without,10,2775773.4982517483
ProjectionPushdown - GroupBy,Without,10,2781438.1987179485
ProjectionPushdown - GroupBy,Without,10,2774502.1198224854
ProjectionPushdown - GroupBy,Without,10,2774386.278846154
ProjectionPushdown - GroupBy,Without,10,2780554.466666667
ProjectionPushdown - GroupBy,Without,10,2778780.90625
ProjectionPushdown - GroupBy,Without,10,2789412.923076923
ProjectionPushdown - GroupBy,Without,10,2787238.34508547
ProjectionPushdown - GroupBy,Without,10,2784072.395748988
ProjectionPushdown - GroupBy,Without,10,2791122.642307692
ProjectionPushdown - GroupBy,Without,100,11753790.0
ProjectionPushdown - GroupBy,Without,100,11716059.923076924
ProjectionPushdown - GroupBy,Without,100,11717233.256410256
ProjectionPushdown - GroupBy,Without,100,11711480.153846154
ProjectionPushdown - GroupBy,Without,100,11728204.292307692
ProjectionPushdown - GroupBy,Without,100,11772309.692307692
ProjectionPushdown - GroupBy,Without,100,11737990.120879121
ProjectionPushdown - GroupBy,Without,100,11714371.432692308
ProjectionPushdown - GroupBy,Without,100,11722791.162393162
ProjectionPushdown - GroupBy,Without,100,11742053.653846154
ProjectionPushdown - GroupBy,Without,100,11709017.496503497
ProjectionPushdown - GroupBy,Without,100,11712524.935897436
ProjectionPushdown - GroupBy,Without,100,11727003.130177515
ProjectionPushdown - GroupBy,Without,100,11706880.225274725
ProjectionPushdown - GroupBy,Without,100,11712756.317948718
ProjectionPushdown - GroupBy,Without,100,11730306.524038462
ProjectionPushdown - GroupBy,Without,100,11726881.466063349
ProjectionPushdown - GroupBy,Without,100,11719770.376068376
ProjectionPushdown - GroupBy,Without,100,11736254.902834008
ProjectionPushdown - GroupBy,Without,100,11687797.55
PredicatePushdown - Join - selectivity,With,60,37079951.5
PredicatePushdown - Join - selectivity,With,60,36781779.625
PredicatePushdown - Join - selectivity,With,60,36897098.916666664
PredicatePushdown - Join - selectivity,With,60,37028730.9375
PredicatePushdown - Join - selectivity,With,60,36951092.5
PredicatePushdown - Join - selectivity,With,60,36940058.458333336
PredicatePushdown - Join - selectivity,With,60,36599320.821428575
PredicatePushdown - Join - selectivity,With,60,36886955.375
PredicatePushdown - Join - selectivity,With,60,36977745.69444445
PredicatePushdown - Join - selectivity,With,60,37208555.525
PredicatePushdown - Join - selectivity,With,60,37117209.63636363
PredicatePushdown - Join - selectivity,With,60,37089850.125
PredicatePushdown - Join - selectivity,With,60,36958133.75
PredicatePushdown - Join - selectivity,With,60,36905735.21428572
PredicatePushdown - Join - selectivity,With,60,37066544.65
PredicatePushdown - Join - selectivity,With,60,36999467.0625
PredicatePushdown - Join - selectivity,With,60,37144551.941176474
PredicatePushdown - Join - selectivity,With,60,36897355.902777776
PredicatePushdown - Join - selectivity,With,60,42188073.2631579
PredicatePushdown - Join - selectivity,With,60,38247668.8875
PredicatePushdown - Join - selectivity,With,40,113737198.5
PredicatePushdown - Join - selectivity,With,40,108680593.25
PredicatePushdown - Join - selectivity,With,40,107927417.83333333
PredicatePushdown - Join - selectivity,With,40,108505156.5
PredicatePushdown - Join - selectivity,With,40,107399902.7
