command,mean,stddev,median,user,system,min,max,parameter_lib,parameter_n_row
./tests/pandas/simple.py data/1000_100.csv,0.5293434571800001,0.011626755507686302,0.5257732745800001,0.869218,0.5977632199999998,0.51845589258,0.5576675875800001,pandas,1000
./tests/pandas/simple.py data/10000_100.csv,0.59488708848,0.01404669465577863,0.60217323558,0.9158376,0.5987349200000001,0.5747492415800001,0.6104057875800001,pandas,10000
./tests/pandas/simple.py data/100000_100.csv,1.0910844770800001,0.020946918944247342,1.0851357850799999,1.3488519,0.6776878199999999,1.07456047758,1.14356578458,pandas,100000
./tests/pandas/simple.py data/1000000_100.csv,6.40188009838,0.05934296112086546,6.392125631080001,5.9777283,1.3519450199999998,6.3244210695800005,6.535840304580001,pandas,1000000
./tests/polars/simple.py data/1000_100.csv,0.13292002930727276,0.010017797679130835,0.13035635808,0.10998322727272726,0.026278292727272723,0.12379805558,0.16977393858000003,polars,1000
./tests/polars/simple.py data/10000_100.csv,0.13045190258000003,0.0038726481981597796,0.13038815558000003,0.11628006521739132,0.02357143304347826,0.12532596158,0.14041969158,polars,10000
./tests/polars/simple.py data/100000_100.csv,0.1442397670561905,0.009822065166516203,0.14241736758,0.16870088095238095,0.03340894857142857,0.13618889358000003,0.18319573758000002,polars,100000
./tests/polars/simple.py data/1000000_100.csv,0.2714307516709091,0.004964044969694748,0.27194508358,0.7866564090909091,0.08396606545454546,0.26100575658,0.27753260258,polars,1000000
./tests/noir/simple.py data/1000_100.csv,0.033058066093513534,0.002681830816367132,0.03245452858,0.027165175675675675,0.007345701081081083,0.02886940058,0.04505933158000001,noir,1000
./tests/noir/simple.py data/10000_100.csv,0.03798976903833334,0.003838287910071825,0.03743053258000001,0.04010441666666667,0.007879248333333332,0.03261353058000001,0.058115465580000004,noir,10000
./tests/noir/simple.py data/100000_100.csv,0.0761936666326316,0.0019209870172993766,0.07580338358,0.27212128947368414,0.020839283157894743,0.07236449158,0.08144513658000001,noir,100000
./tests/noir/simple.py data/1000000_100.csv,0.48458838047999986,0.012820062701921089,0.48114601808,2.9037254999999997,0.12016232,0.46596002858,0.5054884905800001,noir,1000000
