command,mean,stddev,median,user,system,min,max,parameter_lib,parameter_n_row
./tests/pandas/groupby_mean.py data/1000_100.csv,0.5172941850399999,0.010754559391615237,0.51418061404,0.84908074,0.6137398600000001,0.50712348204,0.5419818120400001,pandas,1000
./tests/pandas/groupby_mean.py data/10000_100.csv,0.5660238524400001,0.010845732855310706,0.56272927354,0.89540144,0.6402956599999999,0.5545419650400001,0.59058357904,pandas,10000
./tests/pandas/groupby_mean.py data/100000_100.csv,1.0678295192400002,0.02483571745593091,1.0633966840400002,1.32648394,0.69186556,1.03899327104,1.11970279004,pandas,100000
./tests/pandas/groupby_mean.py data/1000000_100.csv,6.145561525740001,0.35971012024279597,6.01802358954,5.61102084,1.5094656599999998,5.87933637404,7.05146487004,pandas,1000000
./tests/polars/groupby_mean.py data/1000_100.csv,0.12362719899833337,0.006741446106311668,0.12208653054000002,0.101656815,0.023756218333333332,0.11821520804,0.15082811904,polars,1000
./tests/polars/groupby_mean.py data/10000_100.csv,0.12385275074833335,0.0023560801119096204,0.12397233954,0.10741523166666667,0.026263593333333335,0.11829221104000001,0.12775265904000002,polars,10000
./tests/polars/groupby_mean.py data/100000_100.csv,0.14011263184952383,0.008090815090205877,0.13759512604000002,0.1667537971428571,0.03351040285714285,0.13168269104000002,0.16385700704,polars,100000
./tests/polars/groupby_mean.py data/1000000_100.csv,0.29957110233999995,0.006554182286251236,0.29781806353999996,0.8461707399999998,0.10055955999999999,0.29259748003999997,0.31020342204,polars,1000000
./tests/noir/groupby_mean.py data/1000_100.csv,0.033412543462535214,0.002157184071285207,0.033278752040000005,0.027527475211267603,0.007796326197183101,0.02837269304,0.03916683104,noir,1000
./tests/noir/groupby_mean.py data/10000_100.csv,0.04040056283104479,0.003980200738177973,0.039622545040000005,0.05591235791044778,0.0099348752238806,0.03547286704,0.06090238204000001,noir,10000
./tests/noir/groupby_mean.py data/100000_100.csv,0.09399638394624998,0.0032921488145569895,0.09339580204,0.37070875249999996,0.035478416250000006,0.08875073304,0.10352082204,noir,100000
./tests/noir/groupby_mean.py data/1000000_100.csv,0.61396353954,0.015622139710962678,0.6099549965400001,3.8863161399999995,0.19000386,0.59079102904,0.6414413440400001,noir,1000000
