stream,lib,n_row,memory,i,time
join,polars,10000000,0.0,8,1710235942.0084
join,polars,10000000,0.0,8,1710235942.1088
join,polars,10000000,0.0,8,1710235942.2092
join,polars,10000000,0.0,8,1710235942.3096
join,polars,100000,0.375,9,1710235672.5592
join,polars,100000,40.621094,9,1710235672.6595
join,noir,100000,0.25,2,1710235663.5211
join,noir,100000,48.667969,2,1710235663.6214
join,noir,100000,80.667969,2,1710235663.7217
join,pandas,10000000,0.375,4,1710235990.5341
join,pandas,10000000,30.546875,4,1710235990.6343
join,pandas,10000000,56.523438,4,1710235990.7347
join,pandas,10000000,90.273438,4,1710235990.835
join,pandas,10000000,120.898438,4,1710235990.9354
join,pandas,10000000,151.023438,4,1710235991.0357
join,pandas,10000000,184.398438,4,1710235991.136
join,pandas,10000000,215.648438,4,1710235991.2364
join,pandas,10000000,245.773438,4,1710235991.3367
join,pandas,10000000,279.398438,4,1710235991.437
join,pandas,10000000,310.648438,4,1710235991.5373
join,pandas,10000000,340.648438,4,1710235991.6376
join,pandas,10000000,373.773438,4,1710235991.7378
join,pandas,10000000,405.898438,4,1710235991.8381
join,pandas,10000000,435.773438,4,1710235991.9384
join,pandas,10000000,468.648438,4,1710235992.0387
join,pandas,10000000,500.773438,4,1710235992.139
join,pandas,10000000,531.273438,4,1710235992.2392
join,pandas,10000000,562.648438,4,1710235992.3395
join,pandas,10000000,596.023438,4,1710235992.4398
join,pandas,10000000,626.023438,4,1710235992.5401
join,pandas,10000000,657.773438,4,1710235992.6404
join,pandas,10000000,690.398438,4,1710235992.7407
join,pandas,10000000,721.023438,4,1710235992.841
join,pandas,10000000,751.023438,4,1710235992.9413
join,pandas,10000000,783.648438,4,1710235993.0416
join,pandas,10000000,816.148438,4,1710235993.1419
join,pandas,10000000,908.953125,4,1710235993.2422
join,pandas,10000000,1551.441406,4,1710235993.3426
join,pandas,10000000,1317.136719,4,1710235993.4431
join,pandas,10000000,953.167969,4,1710235993.5435
join,pandas,10000000,1316.789062,4,1710235993.644
join,pandas,10000000,2202.789062,4,1710235993.7445
join,pandas,10000000,2546.164062,4,1710235993.8449
join,pandas,10000000,2622.539062,4,1710235993.9453
join,pandas,10000000,2622.539062,4,1710235994.0457
join,pandas,10000000,2622.539062,4,1710235994.1461
join,pandas,10000000,2622.539062,4,1710235994.2464
join,pandas,10000000,2731.289062,4,1710235994.3468
join,pandas,10000000,2977.039062,4,1710235994.4471
join,pandas,10000000,3211.789062,4,1710235994.5474
join,pandas,10000000,3409.289062,4,1710235994.6477
join,pandas,10000000,3461.539062,4,1710235994.7482
join,pandas,10000000,3461.789062,4,1710235994.8486
join,pandas,10000000,3461.789062,4,1710235994.949
join,pandas,10000000,3461.789062,4,1710235995.0494
join,pandas,10000000,3461.789062,4,1710235995.1498
join,pandas,10000000,3461.789062,4,1710235995.2502
join,pandas,10000000,3461.789062,4,1710235995.3506
join,pandas,10000000,3670.214844,4,1710235995.4511
join,pandas,10000000,4130.214844,4,1710235995.5515
join,pandas,10000000,4586.167969,4,1710235995.652
join,pandas,10000000,3006.171875,4,1710235995.7524
join,pandas,10000000,2570.707031,4,1710235995.8529
join,pandas,10000000,3198.707031,4,1710235995.9533
join,pandas,10000000,3828.707031,4,1710235996.0537
join,pandas,10000000,4458.707031,4,1710235996.1542
join,pandas,10000000,5092.707031,4,1710235996.2546
join,pandas,10000000,5724.707031,4,1710235996.355
join,pandas,10000000,6360.707031,4,1710235996.4555
join,pandas,10000000,6751.707031,4,1710235996.5559
join,pandas,10000000,7018.707031,4,1710235996.6563
join,pandas,10000000,7214.707031,4,1710235996.7568
join,pandas,10000000,7369.457031,4,1710235996.8674
join,pandas,10000000,0.0,4,1710235997.2474
groupby,pandas,10000,0.375,8,1710235660.759
groupby,pandas,10000,30.792969,8,1710235660.8593
groupby,pandas,10000,56.734375,8,1710235660.9596
groupby,pandas,10000,0.0,8,1710235661.0599
groupby,polars,100000,0.375,2,1710235669.103
groupby,polars,100000,37.863281,2,1710235669.2033
join,pandas,10000,0.375,9,1710235661.2262
join,pandas,10000,31.164062,9,1710235661.3266
join,pandas,10000,57.023438,9,1710235661.4269
join,pandas,10000,77.640625,9,1710235661.5273
groupby,noir,100000,0.375,5,1710235665.4824
groupby,pandas,1000000,0.375,1,1710235716.1614
